indiv_flower,date,stage
1_1,2017-08-21,4
1_1,2017-08-22,4
1_1,2017-08-23,4
1_1,2017-08-24,4
1_1,2017-08-25,5
1_1,2017-08-26,5
1_1,2017-08-27,5
1_1,2017-08-28,5
1_1,2017-08-29,5
1_1,2017-08-30,6
1_1,2017-08-31,6
1_1,2017-09-01,7
1_1,2017-09-02,7
1_1,2017-09-03,7
1_1,2017-09-04,7
1_1,2017-09-05,7
1_1,2017-09-06,8
1_2,2017-08-21,3
1_2,2017-08-22,3
1_2,2017-08-23,3
1_2,2017-08-24,3
1_2,2017-08-25,4
1_2,2017-08-26,4
1_2,2017-08-27,4
1_2,2017-08-28,4
1_2,2017-08-29,4
1_2,2017-08-30,4
1_2,2017-08-31,5
1_2,2017-09-01,5
1_2,2017-09-02,6
1_2,2017-09-03,6
1_2,2017-09-04,6
1_2,2017-09-05,7
1_2,2017-09-06,7
1_2,2017-09-07,7
1_2,2017-09-08,7
1_2,2017-09-09,7
1_2,2017-09-10,7
1_3,2017-08-21,2
1_3,2017-08-22,2
1_3,2017-08-23,2
1_4,2017-08-21,2
1_4,2017-08-22,2
1_4,2017-08-23,2
1_4,2017-08-24,2
1_4,2017-08-25,2
1_4,2017-08-26,2
1_4,2017-08-27,2
1_5,2017-08-21,1
1_5,2017-08-22,1
1_5,2017-08-23,1
1_5,2017-08-24,1
1_5,2017-08-25,2
1_5,2017-08-26,2
1_5,2017-08-27,2
1_5,2017-08-28,2
1_5,2017-08-29,2
1_5,2017-08-30,2
1_5,2017-08-31,3
1_5,2017-09-01,3
1_5,2017-09-02,3
1_5,2017-09-03,3
1_5,2017-09-04,4
1_5,2017-09-05,4
1_5,2017-09-06,4
1_5,2017-09-07,4
1_5,2017-09-08,4
1_5,2017-09-09,4
1_5,2017-09-10,4
1_5,2017-09-11,4
1_5,2017-09-12,4
1_5,2017-09-13,5
1_5,2017-09-14,5
1_5,2017-09-15,6
1_5,2017-09-16,6
1_5,2017-09-17,7
1_5,2017-09-18,7
1_5,2017-09-19,7
1_5,2017-09-20,8
1_6,2017-08-21,1
1_6,2017-08-22,1
1_6,2017-08-23,1
1_6,2017-08-24,1
1_6,2017-08-25,1
1_6,2017-08-26,1
1_6,2017-08-27,1
1_6,2017-08-28,1
1_6,2017-08-29,1
1_6,2017-08-30,2
1_6,2017-08-31,2
1_6,2017-09-01,2
1_6,2017-09-02,2
1_6,2017-09-03,2
1_6,2017-09-04,3
1_6,2017-09-05,3
1_6,2017-09-06,3
1_6,2017-09-07,4
1_6,2017-09-08,4
1_6,2017-09-09,4
1_6,2017-09-10,4
1_6,2017-09-11,4
1_6,2017-09-12,4
1_6,2017-09-13,4
1_6,2017-09-14,4
1_6,2017-09-15,4
1_6,2017-09-16,5
1_6,2017-09-17,5
1_6,2017-09-18,5
1_6,2017-09-19,5
1_6,2017-09-20,5
1_7,2017-08-21,1
1_7,2017-08-22,1
1_7,2017-08-23,1
1_7,2017-08-24,1
1_7,2017-08-25,1
1_7,2017-08-26,1
1_7,2017-08-27,1
1_7,2017-08-28,1
1_7,2017-08-29,1
1_7,2017-08-30,1
1_7,2017-08-31,1
1_7,2017-09-01,1
1_7,2017-09-02,2
1_7,2017-09-03,2
1_7,2017-09-04,2
1_7,2017-09-05,2
1_7,2017-09-06,3
1_7,2017-09-07,3
1_7,2017-09-08,3
1_7,2017-09-09,3
1_7,2017-09-10,3
1_7,2017-09-11,3
1_7,2017-09-12,3
1_7,2017-09-13,4
1_7,2017-09-14,4
1_7,2017-09-15,4
1_7,2017-09-16,4
1_7,2017-09-17,4
1_7,2017-09-18,4
1_7,2017-09-19,4
1_7,2017-09-20,5
1_8,2017-08-21,1
1_8,2017-08-22,1
1_8,2017-08-23,1
1_8,2017-08-24,1
1_8,2017-08-25,1
1_8,2017-08-26,1
1_8,2017-08-27,1
1_8,2017-08-28,1
1_8,2017-08-29,1
1_8,2017-08-30,1
1_8,2017-08-31,1
1_8,2017-09-01,1
1_8,2017-09-02,1
1_8,2017-09-03,1
1_8,2017-09-04,1
1_8,2017-09-05,1
1_8,2017-09-06,1
1_8,2017-09-07,1
1_8,2017-09-08,2
1_8,2017-09-09,2
1_8,2017-09-10,2
1_8,2017-09-11,2
1_8,2017-09-12,2
1_8,2017-09-13,2
1_8,2017-09-14,2
1_8,2017-09-15,2
1_8,2017-09-16,2
1_8,2017-09-17,2
1_8,2017-09-18,2
1_8,2017-09-19,2
1_8,2017-09-20,2
1_9,2017-08-22,1
1_9,2017-08-23,1
1_9,2017-08-24,1
1_9,2017-08-25,1
1_9,2017-08-26,1
1_9,2017-08-27,1
1_9,2017-08-28,1
1_9,2017-08-29,1
1_9,2017-08-30,1
1_9,2017-08-31,1
1_9,2017-09-01,1
1_9,2017-09-02,1
1_9,2017-09-03,1
1_9,2017-09-04,1
1_9,2017-09-05,1
1_9,2017-09-06,1
1_9,2017-09-07,1
1_9,2017-09-08,1
1_9,2017-09-09,1
1_9,2017-09-10,1
1_9,2017-09-11,1
1_9,2017-09-12,2
1_9,2017-09-13,2
1_9,2017-09-14,2
1_9,2017-09-15,2
1_9,2017-09-16,2
1_9,2017-09-17,2
1_9,2017-09-18,3
1_9,2017-09-19,3
1_9,2017-09-20,3
1_10,2017-08-22,1
1_10,2017-08-23,1
1_10,2017-08-24,1
1_10,2017-08-25,1
1_10,2017-08-26,1
1_10,2017-08-27,1
1_10,2017-08-28,1
1_10,2017-08-29,1
1_10,2017-08-30,1
1_10,2017-08-31,1
1_10,2017-09-01,1
1_10,2017-09-02,1
1_10,2017-09-03,1
1_10,2017-09-04,1
1_10,2017-09-05,1
1_10,2017-09-06,1
1_10,2017-09-07,1
1_10,2017-09-08,1
1_10,2017-09-09,1
1_10,2017-09-10,1
1_10,2017-09-11,1
1_10,2017-09-12,1
1_10,2017-09-13,1
1_10,2017-09-14,2
1_10,2017-09-15,2
1_10,2017-09-16,2
1_10,2017-09-17,2
1_11,2017-09-17,1
1_11,2017-09-18,1
1_11,2017-09-19,1
1_11,2017-09-20,1
1_12,2017-09-17,1
1_12,2017-09-18,1
1_12,2017-09-19,1
